Title,Rating,Duration,Votes
Black Heat,2.0,1h 39m, (349)
Hunt the Wicked,4.6,2h 24m, (228)
Ten Toes Down,6.1,2h 6m, (42)
Road Wars: Max Fury,3.6,1h 28m, (240)
Prepare to Die,6.9,2h, (79)
Nu Huo 12 Xiao Shi,6.6,1h 23m, (998)
Rendel: Cycle of Revenge,2.8,2h 45m, (293)
Kizumonogatari: Koyomi Vamp,6.7,1h 41m, (492)
Anchakkallakokkan,5.0,2h 27m, (28)
Ship of the Damned,6.8,1h 33m, (235)
Conquer: Lahad Datu,4.9,1h 30m, (204)
24 Hours to D-Day,5.4,2h 16m, (760)
Mirza: Part 1 - Joker,3.9,1h 30m, (238)
Snatched,3.2,2h 8m, (170)
Kondal,6.7,N/A, (404)
6 Hours Away,9.0,1h 35m, (603)
In Tenebras: Into the Darkness,4.0,2h 33m, (110)
Cesium Fallout,6.2,N/A, (528)
Where Is Gilgamesh?,5.8,2h 54m, (68)
Kadakan,5.8,1h 35m, (833)
Big City Greens the Movie: Spacecation,5.6,1h 10m, (81)
The Epidemic,5.1,2h 35m, (106)
Yuva,8.8,1h 36m, (144)
How to Make a Werewolf,2.3,1h 30m, (161)
Team of Two,3.3,2h 17m, (81)
Rang De Basanti,5.9,2h 36m, (3.5K)
Ballistic,5.0,1h 59m, (74)
Camp Blood: Clown Shark,4.3,2h 40m, (217)
Turbo,3.8,1h 27m, (337)
The Mick and the Trick,7.0,1h 30m, (22)
What Happens in Miami,4.7,2h, (570)
Buddy,5.8,1h 21m, (492)
Operation Hope,5.6,2h 16m, (5K)
Matka,6.7,1h 48m, (24)
High Forces,4.5,2h 14m, (57)
Malayalee from India,4.8,1h 30m, (15)
The Bodyguard,4.6,2h 16m, (471)
Mutant,4.0,1h 25m, (113)
The Legend Hunters,6.5,2h 10m, (272)
Formed Police Unit,6.2,1h 38m, (222)
Shark Island,8.8,40m, (42)
Naam,4.4,2h 14m, (86)
The Moon Thieves,6.1,1h 34m, (4K)
Case Files,9.5,1h 57m, (2.3K)
Bhairadevi,7.0,1h 45m, (61)
The Circuit 4: Faith Fighter,7.9,1h 33m, (19)
100 Crores,8.2,2h 5m, (54)
Jithender Reddy,3.3,1h 54m, (372)
Toemalog,6.1,1h 38m, (373)
The Waiter,5.2,1h 25m, (196)
Hide and Seek,6.5,1h 22m, (280)
Kung Fu Games,6.0,1h 35m, (33)
Neon Fear,7.1,1h 44m, (56)
Yi ren zhi xia,3.0,1h 30m, (13)
September Babies,6.7,1h 26m, (1.6K)
Akabane Honeko no Bodyguard,7.0,1h 24m, (133)
Ghost Killer,6.7,1h 55m, (33)
Saint Young Men: Holy Men vs Demon Army,5.6,2h, (134)
Sons of Rizk 3,8.4,2h 30m, (65)
Stuntman,6.3,2h 3m, (96)
Spirit Riser,4.3,2h 36m, (376)
Red vs. Blue: Restoration,6.1,1h 55m, (110)
Dragon Ball Kai: Doragon Bôru Kai,6.7,1h 11m, (37)
Six jours,6.6,2h 13m, (244)
Checkmate,5.4,1h 44m, (458)
Blade of Fury,4.9,1h 47m, (2.2K)
The Slave and the Sorcerer,5.7,1h 30m, (44)
Buying Time,7.9,1h 20m, (79)
Customs Frontline,4.2,2h 16m, (1.7K)
Purushothamudu,6.5,1h 37m, (3.4K)
Get Close 2,5.6,1h 40m, (265)
Hrashwo Deergha,7.4,2h 15m, (59)
Petta Rap,6.8,1h 46m, (25)
Mechanic Rocky,8.1,1h 53m, (1.5K)
Go for Broke,3.9,2h 28m, (245)
Hotel Underground,6.4,1h 40m, (56)
Wandafuru Purikyua! Za mubi! Doki Doki Game no Sekai de Daiboken,8.5,1h 28m, (233)
Anthima Theerpu,3.0,1h 38m, (307)
The Alexandrian,6.1,1h 40m, (540)
Raqa,6.5,1h 19m, (69)
Dark Fusion,4.8,1h 49m, (359)
Taken from Rio Bravo,5.8,2h 5m, (970)
Bhaje Vaayu Vegam,6.3,2h 5m, (5.2K)
The Grey Men,7.8,2h 13m, (2.4K)
The Plot,2.9,3h 1m, (149)
Sentimentaaal,3.2,2h 1m, (63)
Dreams,6.3,2h, (24)
Bandaa Singh Chaudhary,4.0,2h 10m, (62)
Pranaya Godari,6.0,2h, (136)
Bull Shark 2,7.0,2h 8m, (8)
Rebel,2.8,2h 9m, (145)
Death Game,5.8,1h 36m, (426)
Roxana,7.1,1h 37m, (878)
Thug in a Suit,4.9,1h 37m, (219)
"Fool Me Once, Revenge on You",4.5,1h 40m, (415)
Shockwaves 2,7.1,2h 34m, (830)
Breaking and Re-entering,6.2,2h 52m, (258)
Warning 2,7.7,2h 4m, (12)
Next to Us,5.9,1h 40m, (1.1K)
Mazhai Pidikatha Manithan,5.9,2h 36m, (805)
Oru Anveshanathinte Thudakkam,7.3,2h 28m, (1.1K)
The Experts,8.4,1h 28m, (5.4K)
Purushothamudu,9.1,1h 44m, (29)
The Wolfman,7.0,2h 11m, (193)
Saala,6.6,1h 38m, (64)
Election,2.2,1h 32m, (152)
Premalo,5.0,2h, (605)
Sabari,7.6,1h 39m, (136)
Losing Lerato 2,6.4,2h 10m, (3.3K)
Correr para Vivir,5.6,1h 36m, (105)
Black Storm,5.1,2h 18m, (208)
Türkler Çildirmis Olmali 2: Mavi Vatan,5.8,N/A, (946)
Por,4.9,N/A, (358)
Samandar,2.0,N/A, (178)
Bastar: The Naxal Story,4.2,N/A, (10)
Dirty Money,8.5,N/A, (11)
DNA,6.3,N/A, (512)
Bheema,9.2,N/A, (13)
RSVP,6.1,N/A, (17)
Gold Raiders,4.7,N/A, (225)
London Gangsters,2.3,N/A, (361)
Delivery Run,3.2,N/A, (24)
Komandir,4.8,N/A, (254)
First Nights at Freddy's,5.1,N/A, (403)
Bond: Kizuna,8.8,N/A, (27)
Appudo Ippudo Eppudo,5.0,N/A, (1.6K)
Kill Craft,3.5,N/A, (13)
Bolero,N/A,N/A,N/A
Chaari 111,N/A,N/A,N/A
Kali,N/A,N/A,N/A
Mister Gates,N/A,N/A,N/A
Saindhav,N/A,N/A,N/A
Andromeda: 1883,N/A,N/A,N/A
