Title,Genre,Duration,Rating,Votes
Rang De Basanti,Comedy,2h 54m,8.8,(144)
Ballistic,Comedy,1h 35m,2.3,(161)
Camp Blood: Clown Shark,Comedy,1h 10m,3.3,(82)
Turbo,Comedy,2h 35m,5.9,(3.5K)
The Mick and the Trick,Comedy,1h 36m,5.0,(75)
What Happens in Miami,Comedy,1h 30m,4.3,(218)
Buddy,Comedy,2h 17m,3.8,(338)
Operation Hope,Comedy,N/A,7.0,(22)
Matka,Comedy,2h 36m,4.7,(571)
High Forces,Comedy,1h 59m,5.8,(495)
Malayalee from India,Comedy,2h 40m,5.6,(5K)
The Bodyguard,Comedy,1h 27m,6.7,(25)
Mutant,Comedy,1h 30m,4.5,(57)
The Legend Hunters,Comedy,N/A,4.8,(15)
Formed Police Unit,Comedy,2h,4.6,(471)
Shark Island,Comedy,1h 21m,4.0,(114)
Naam,Comedy,2h 16m,6.5,(273)
The Moon Thieves,Comedy,1h 48m,6.2,(222)
Case Files,Comedy,N/A,N/A,N/A
Bhairadevi,Comedy,2h 14m,8.8,(43)
The Circuit 4: Faith Fighter,Comedy,1h 30m,4.4,(86)
100 Crores,Comedy,N/A,6.1,(4K)
Jithender Reddy,Comedy,2h 16m,9.5,(2.3K)
Toemalog,Comedy,1h 25m,7.0,(61)
The Waiter,Comedy,N/A,7.9,(19)
Hide and Seek,Comedy,2h 10m,8.2,(54)
Kung Fu Games,Comedy,1h 38m,3.3,(373)
Neon Fear,Comedy,40m,6.1,(373)
Yi ren zhi xia,Comedy,2h 14m,5.3,(198)
September Babies,Comedy,1h 34m,6.5,(280)
Akabane Honeko no Bodyguard,Comedy,1h 57m,6.0,(34)
Ghost Killer,Comedy,1h 45m,7.2,(57)
Saint Young Men: Holy Men vs Demon Army,Comedy,1h 33m,3.0,(13)
Sons of Rizk 3,Comedy,2h 5m,6.7,(1.6K)
Stuntman,Comedy,1h 54m,7.0,(133)
Spirit Riser,Comedy,1h 38m,6.7,(33)
Red vs. Blue: Restoration,Comedy,1h 25m,5.6,(134)
Dragon Ball Kai: Doragon Bôru Kai,Comedy,1h 22m,8.4,(65)
Six jours,Comedy,1h 35m,6.3,(96)
Checkmate,Comedy,1h 44m,4.3,(378)
Blade of Fury,Comedy,1h 30m,6.1,(110)
The Slave and the Sorcerer,Comedy,1h 26m,6.7,(37)
Buying Time,Comedy,1h 24m,6.6,(244)
Customs Frontline,Comedy,1h 55m,5.4,(458)
